Aircraft Type,Country,Type_of_Travellers,Route,Seat_Types,Seat Comfort,Date Flown,Cabin Staff Service,Ground Service,Food & Beverages,Wifi & Connectivity,Inflight Entertainment,Value For Money,Recommended
A320,United Kingdom,Business,New York to London,Economy Class,4.00,23-Apr,3.00,1.00,3.00,4.00,3.00,1.00,no
Boeing 787,United Kingdom,Couple Leisure,Singapore to London,Business Class,4.00,23-Apr,2.00,3.00,1.00,1.00,5.00,1.00,no
A320,Sweden,Couple Leisure,Sweden to Los Angeles via London,Economy Class,3.00,23-Jan,3.00,3.00,3.00,1.00,2.00,1.00,no
Boeing 777,United States,Couple Leisure,Seattle to Zagreb via London,Premium Economy,3.00,23-Apr,2.00,3.00,1.00,1.00,1.00,2.00,no
Boeing 777,Canada,Family Leisure,"Bangalore to Toronto via London, ",Premium Economy,2.00,23-Apr,1.00,1.00,2.00,1.00,3.00,1.00,no
Dreamliner,Ireland,Family Leisure,London to Denver,Economy Class,2.00,23-Feb,1.00,1.00,1.00,1.00,3.00,2.00,no
A350,United Kingdom,Solo Leisure,London to Hong Kong,Premium Economy,4.00,23-Apr,5.00,4.00,4.00,4.30,3.00,4.00,yes
A320,United States,Couple Leisure,Brussels to Los Angeles via London Heathrow,Economy Class,1.00,23-Apr,4.00,1.00,1.00,1.00,3.00,1.00,no
A320,United States,Couple Leisure,Copenhagen to London,Economy Class,1.00,23-Apr,4.00,2.00,2.00,1.00,1.30,2.00,no
A320,United States,Family Leisure,London to Denver,Economy Class,2.00,23-Mar,5.00,4.00,2.00,1.00,3.00,1.00,no
A320,Hong Kong,Solo Leisure,Hong Kong to London,Economy Class,2.00,23-Apr,1.00,2.00,1.00,1.00,1.00,2.00,no
A320,United Kingdom,Business,Heathrow to Malaga,Business Class,3.00,23-Apr,3.00,3.00,4.00,1.00,1.70,2.00,no
A320,United Kingdom,Family Leisure,Santorini to Gatwick,Economy Class,4.00,23-Mar,4.00,3.00,1.30,3.00,1.00,1.00,no
A320,United States,Solo Leisure,Madrid to Belfast via London,Economy Class,3.00,23-Jan,3.00,1.00,2.00,1.00,1.70,1.00,no
A320,United Kingdom,Business,Dublin to London,Economy Class,1.00,23-Apr,1.00,1.00,1.00,1.00,1.00,1.00,no
A320,United States,Couple Leisure,London to Venice,Business Class,1.00,23-Mar,2.00,2.00,2.00,1.30,1.00,2.00,no
A350,United Kingdom,Couple Leisure,Las Vegas to London,Economy Class,1.00,23-Apr,1.00,4.00,1.00,1.00,4.00,1.00,no
A320,United Kingdom,Solo Leisure,Faro to Heathrow,Business Class,5.00,23-Apr,5.00,3.00,5.00,3.70,4.00,5.00,yes
Boeing 777,United Kingdom,Couple Leisure,London to Atlanta,Business Class,4.00,23-Apr,3.00,2.00,2.00,3.00,3.00,3.00,no
A320,United States,Couple Leisure,London to Copenhagen,Economy Class,1.00,23-Apr,4.00,1.00,1.00,1.00,1.70,1.00,no
A320,United Kingdom,Couple Leisure,London to Malta,Economy Class,3.00,23-Apr,1.00,1.00,2.00,2.30,2.30,1.00,no
A319,United Kingdom,Couple Leisure,Belfast to London,Economy Class,4.00,23-Apr,4.00,4.00,3.00,3.70,3.70,4.00,yes
Boeing 787,United Kingdom,Business,London to Hong Kong,Premium Economy,2.00,23-Apr,2.00,4.00,3.00,5.00,3.00,3.00,no
A320,United States,Family Leisure,Mumbai to Chicago via London,Economy Class,4.00,23-Apr,1.00,1.00,5.00,1.00,5.00,1.00,no
Boeing 777,United Kingdom,Business,London to New York,Business Class,3.00,23-Apr,2.00,3.00,2.00,1.00,2.00,2.00,no
Boeing 777-200,United Kingdom,Solo Leisure,Mumbai to London,Economy Class,4.00,23-Mar,5.00,4.00,3.00,5.00,5.00,5.00,yes
